fiscal_year,year,month,month_numeric,day,date_stamp,volume_in_mn,value_in_cr,released_on,updated_on,data_source,data_url
2021-22,2021,July,7,21,2021-07-21,0,0,2021-08-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,July,7,22,2021-07-22,4.57,7280.78,2021-08-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,July,7,23,2021-07-23,1.81,3496.06,2021-08-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,July,7,24,2021-07-24,0.12,483.37,2021-08-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,July,7,25,2021-07-25,0,0,2021-08-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,July,7,26,2021-07-26,3.74,5383.68,2021-08-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,July,7,27,2021-07-27,2.68,2593.36,2021-08-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,July,7,28,2021-07-28,3.03,2810.75,2021-08-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,July,7,29,2021-07-29,1.7,4396.4,2021-08-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,July,7,30,2021-07-30,6.24,4556.04,2021-08-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,July,7,31,2021-07-31,5.1,2200.18,2021-08-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,August,8,1,2021-08-01,1.97,876.31,2021-09-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,August,8,2,2021-08-02,6.14,4032.59,2021-09-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,August,8,3,2021-08-03,3.23,3660.17,2021-09-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,August,8,4,2021-08-04,5.22,2225.84,2021-09-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
