fiscal_year,year,month,month_numeric,bankwise_type,bank_code,bank_name,total_mandates,accepted,accepted_pct,business_declines,business_declines_pct,technical_declines,technical_declines_pct,no_response_from_customer,no_response_from_customer_pct,total_response_received,total_response_received_pct,time_out,time_out_pct,updated_on,released_on,data_source,data_url
2025-26,2025,December,12,Destination,IDIB,INDIAN BANK,"54,646","1,262",2.31,"3,516",6.43,2,0.00,"8,072",14.77,"12,852",23.52,"41,794",76.48,2026-04-06,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2025-26,2025,December,12,Destination,INDB,INDUSIND BANK,"27,460","8,099",29.49,"5,027",18.31,"1,531",5.58,"12,353",44.99,"27,010",98.36,450,1.64,2026-04-06,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2025-26,2025,December,12,Destination,JAKA,THE JAMMU AND KASHMIR BANK LTD,"1,503",101,6.72,131,8.72,38,2.53,25,1.66,295,19.63,"1,208",80.37,2026-04-06,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2025-26,2025,December,12,Destination,JSFB,JANA SMALL FINANCE BANK LTD,774,176,22.74,273,35.27,0,0.00,313,40.44,762,98.45,12,1.55,2026-04-06,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2025-26,2025,December,12,Destination,KARB,KARNATAKA BANK LTD,"13,799",354,2.57,0,0.00,10,0.07,8,0.06,372,2.70,"13,427",97.30,2026-04-06,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2025-26,2025,December,12,Destination,KCCB,THE KALUPUR COMMERCIAL CO OP BANK,163,23,14.11,30,18.40,0,0.00,98,60.12,151,92.64,12,7.36,2026-04-06,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2025-26,2025,December,12,Destination,KKBK,KOTAK MAHINDRA BANK LTD,"120,996","75,557",62.45,"1,805",1.49,"1,209",1.00,"38,768",32.04,"117,339",96.98,"3,657",3.02,2026-04-06,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2025-26,2025,December,12,Destination,MAHB,BANK OF MAHARASHTRA,"14,461",216,1.49,118,0.82,17,0.12,"4,536",31.37,"4,887",33.79,"9,574",66.21,2026-04-06,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2025-26,2025,December,12,Destination,NSPB,NSDL Payments Banks Ltd,"7,367","6,145",83.41,1,0.01,643,8.73,0,0.00,"6,789",92.15,578,7.85,2026-04-06,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2025-26,2025,December,12,Destination,PSIB,PUNJAB AND SIND BANK,"6,850",261,3.81,426,6.22,1,0.01,661,9.65,"1,349",19.69,"5,501",80.31,2026-04-06,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2025-26,2025,December,12,Destination,PUNB,PUNJAB NATIONAL BANK,"87,294","3,483",3.99,"68,933",78.97,0,0.00,"12,376",14.18,"84,792",97.13,"2,502",2.87,2026-04-06,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2025-26,2025,December,12,Destination,RATN,RBL BANK LIMITED,"2,963","1,146",38.68,22,0.74,0,0.00,"1,731",58.42,"2,899",97.84,64,2.16,2026-04-06,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2025-26,2025,December,12,Destination,SBIN,STATE BANK OF INDIA,"483,420","86,695",17.93,"191,638",39.64,0,0.00,"194,684",40.27,"473,017",97.85,"10,403",2.15,2026-04-06,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2025-26,2025,December,12,Destination,SCBL,STANDARD CHARTERED BANK,"13,187","7,394",56.07,419,3.18,188,1.43,328,2.49,"8,329",63.16,"4,858",36.84,2026-04-06,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2025-26,2025,December,12,Destination,SIBL,THE SOUTH INDIAN BANK LIMITED,"6,329",462,7.30,"4,870",76.95,0,0.00,0,0.00,"5,332",84.25,997,15.75,2026-04-06,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2025-26,2025,December,12,Destination,SRCB,Saraswat Bank,"1,460",100,6.85,274,18.77,0,0.00,102,6.99,476,32.60,984,67.40,2026-04-06,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2025-26,2025,December,12,Destination,STCB,SBM BANK INDIA LTD,209,20,9.57,151,72.25,3,1.44,28,13.40,202,96.65,7,3.35,2026-04-06,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
