fiscal_year,year,month,month_numeric,bankwise_type,bank_code,bank_name,total_mandates,accepted,accepted_pct,business_declines,business_declines_pct,technical_declines,technical_declines_pct,no_response_from_customer,no_response_from_customer_pct,total_response_received,total_response_received_pct,time_out,time_out_pct,updated_on,released_on,data_source,data_url
2022-23,2022,April,4,Destination,CITI,CITI0RTGSMI,15656,10052,64.21,1505,9.61,1444,9.22,2420,15.46,15421,98.5,235,1.5,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2022-23,2022,April,4,Destination,KARB,KARB0000001,11444,942,8.23,31,0.27,2089,18.25,7387,64.55,10449,91.31,995,8.69,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2022-23,2022,April,4,Destination,MAHB,MAHB0003007,10216,1196,11.71,317,3.1,25,0.24,8230,80.56,9768,95.61,448,4.39,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2022-23,2022,April,4,Destination,SIBL,SIBL0002002,6130,1291,21.06,3148,51.35,32,0.52,1500,24.47,5971,97.41,159,2.59,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2022-23,2022,April,4,Destination,AUBL,AUBL0000001,5778,361,6.25,4635,80.22,23,0.4,452,7.82,5471,94.69,307,5.31,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2022-23,2022,April,4,Destination,DBSS,DBSS0IN0811,5379,2352,43.73,342,6.36,,,605,11.25,3299,61.33,2080,38.67,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2022-23,2022,April,4,Destination,RATN,RATN0TREASU,5148,1754,34.07,228,4.43,,,1463,28.42,3445,66.92,1703,33.08,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2022-23,2022,April,4,Destination,HSBC,HSBC0RTGSMI,5102,2144,42.02,1263,24.75,39,0.76,463,9.07,3909,76.62,1193,23.38,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2022-23,2022,April,4,Destination,TMBL,TMBL0000200,4784,502,10.49,1546,32.32,1682,35.16,946,19.77,4676,97.74,108,2.26,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2022-23,2022,April,4,Destination,USFB,UJVN0000001,3027,337,11.13,465,15.36,2,0.07,1259,41.59,2063,68.15,964,31.85,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2022-23,2022,April,4,Destination,COSB,COSB0000025,2842,282,9.92,31,1.09,1,0.04,836,29.42,1150,40.46,1692,59.54,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2022-23,2022,April,4,Destination,DLXB,DLXB0000146,1061,107,10.08,66,6.22,11,1.04,859,80.96,1043,98.3,18,1.7,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2022-23,2022,April,4,Destination,JSFB,JSFB0000001,715,139,19.44,284,39.72,2,0.28,246,34.41,671,93.85,44,6.15,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2022-23,2022,April,4,Destination,APGB,APGB0000001,676,39,5.77,4,0.59,478,70.71,115,17.01,636,94.08,40,5.92,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2022-23,2022,April,4,Destination,DEUT,DEUT0000PBC,595,307,51.6,85,14.29,,,187,31.43,579,97.31,16,2.69,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2022-23,2022,April,4,Destination,VARA,VARA0000001,570,63,11.05,233,40.88,11,1.93,89,15.61,396,69.47,174,30.53,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2022-23,2022,April,4,Destination,KVGB,KVGB0000001,407,10,2.46,,,312,76.66,56,13.76,378,92.87,29,7.13,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2022-23,2022,April,4,Destination,CSBK,CSBK0000001,404,91,22.52,61,15.1,,,130,32.18,282,69.8,122,30.2,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2022-23,2022,April,4,Destination,DCBL,DCBL0000037,307,36,11.73,77,25.08,1,0.33,183,59.61,297,96.74,10,3.26,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2022-23,2022,April,4,Destination,UCBA,UCBA0000001,57,,,,,,,43,75.44,43,75.44,14,24.56,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2022-23,2022,May,5,Destination,HDFC,HDFC BANK LTD,329584,206383,62.6192412253022,18187,5.51816835768727,1461,0.443286081848633,102090,30.9754114277392,328121,99.5561070925773,1463,0.44389290742269,2026-04-06,2022-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2022-23,2022,May,5,Destination,IDIB,INDIAN BANK,175578,23578,13.4287894838761,37883,21.5761655788311,528,0.300721047056009,42012,23.9278269487066,104001,59.2335030584697,71577,40.7664969415303,2026-04-06,2022-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2022-23,2022,May,5,Destination,KKBK,KOTAK MAHINDRA BANK LTD,162511,78467,48.2841161521374,15205,9.35628972807995,2481,1.52666588723225,64440,39.6527004325861,160593,98.8197722000357,1918,1.18022779996431,2026-04-06,2022-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2022-23,2022,May,5,Destination,ICIC,ICICI BANK LTD,155767,74892,48.0795033607889,7019,4.50608922300616,35228,22.6158300538625,26384,16.9381191138046,143523,92.1395417514621,12244,7.86045824853788,2026-04-06,2022-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
