fiscal_year,year,month,month_numeric,day,date_stamp,volume_in_mn,value_in_cr,updated_on,released_on,data_source,data_url
2021-22,2021,June,6,3,2021-06-03,2.96,860.90,2026-04-03,2021-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,June,6,4,2021-06-04,3.09,872.42,2026-04-03,2021-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,June,6,5,2021-06-05,2.76,771.46,2026-04-03,2021-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,June,6,6,2021-06-06,2.12,548.33,2026-04-03,2021-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,June,6,7,2021-06-07,3.21,900.26,2026-04-03,2021-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,June,6,8,2021-06-08,3.05,854.82,2026-04-03,2021-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,June,6,9,2021-06-09,3.04,837.28,2026-04-03,2021-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,June,6,10,2021-06-10,3.00,824.24,2026-04-03,2021-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,June,6,11,2021-06-11,3.08,854.45,2026-04-03,2021-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,June,6,12,2021-06-12,2.81,784.33,2026-04-03,2021-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,June,6,13,2021-06-13,1.93,500.62,2026-04-03,2021-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,June,6,14,2021-06-14,3.33,922.66,2026-04-03,2021-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,June,6,15,2021-06-15,3.50,950.60,2026-04-03,2021-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,June,6,16,2021-06-16,3.25,878.14,2026-04-03,2021-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
