fiscal_year,year,month,month_numeric,day,date_stamp,volume_in_mn,value_in_cr,updated_on,released_on,data_source,data_url
2022-23,2022,June,6,3,2022-06-03,5.23,1404.58,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,4,2022-06-04,4.81,1300.96,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,5,2022-06-05,3.73,931.23,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,6,2022-06-06,4.66,1247.26,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,7,2022-06-07,4.53,1211.22,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,8,2022-06-08,4.63,1224.20,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,9,2022-06-09,4.29,1135.86,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,10,2022-06-10,4.33,1152.48,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,11,2022-06-11,4.11,1118.68,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,12,2022-06-12,3.24,805.86,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,13,2022-06-13,4.26,1144.89,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,14,2022-06-14,3.92,1041.11,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,15,2022-06-15,3.82,1027.26,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,16,2022-06-16,3.86,1032.21,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,17,2022-06-17,3.62,965.49,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,18,2022-06-18,3.20,868.72,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,19,2022-06-19,2.58,644.93,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,20,2022-06-20,3.42,917.44,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,21,2022-06-21,3.73,984.01,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,22,2022-06-22,3.59,931.81,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,23,2022-06-23,3.39,883.51,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,24,2022-06-24,3.41,891.64,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,25,2022-06-25,3.29,866.53,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,26,2022-06-26,2.69,647.78,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,27,2022-06-27,3.52,932.63,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,28,2022-06-28,3.41,1006.06,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,29,2022-06-29,3.26,1035.09,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,30,2022-06-30,3.12,975.94,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,1,2022-07-01,3.78,1201.03,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,2,2022-07-02,4.10,1286.61,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,3,2022-07-03,3.31,924.39,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,4,2022-07-04,4.21,1270.68,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,5,2022-07-05,4.03,1152.36,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,6,2022-07-06,4.10,1135.29,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,7,2022-07-07,4.15,1153.39,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,8,2022-07-08,4.13,1151.81,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,9,2022-07-09,4.25,1169.71,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,10,2022-07-10,2.89,741.98,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,11,2022-07-11,4.03,1113.89,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,12,2022-07-12,3.95,1085.28,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,13,2022-07-13,3.61,988.67,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,14,2022-07-14,3.86,1052.96,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,15,2022-07-15,3.71,1010.38,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,16,2022-07-16,3.57,955.23,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,17,2022-07-17,2.99,728.19,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,18,2022-07-18,3.67,959.66,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,19,2022-07-19,3.51,917.77,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,20,2022-07-20,3.09,808.94,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,21,2022-07-21,3.16,819.79,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,22,2022-07-22,3.05,797.78,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,23,2022-07-23,2.77,737.50,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,24,2022-07-24,2.47,587.28,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,25,2022-07-25,3.21,838.22,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,26,2022-07-26,3.24,839.77,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,27,2022-07-27,3.45,902.40,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,28,2022-07-28,3.35,884.02,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,29,2022-07-29,3.18,858.48,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,30,2022-07-30,3.01,825.94,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,31,2022-07-31,2.43,618.08,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,1,2022-08-01,2.32,651.23,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,2,2022-08-02,2.55,713.57,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,3,2022-08-03,2.62,727.12,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,4,2022-08-04,2.75,754.16,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,5,2022-08-05,2.49,663.98,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,6,2022-08-06,2.65,724.93,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,7,2022-08-07,2.49,653.70,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,8,2022-08-08,3.56,974.81,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,9,2022-08-09,2.71,716.38,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,10,2022-08-10,4.78,1237.96,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,11,2022-08-11,4.50,1139.49,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,12,2022-08-12,3.98,1037.96,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,13,2022-08-13,3.94,1063.04,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,14,2022-08-14,3.09,766.12,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,15,2022-08-15,3.03,733.36,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,16,2022-08-16,4.11,1046.75,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,17,2022-08-17,3.86,979.28,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,18,2022-08-18,3.88,975.58,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,19,2022-08-19,3.50,872.24,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,20,2022-08-20,3.37,866.16,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,21,2022-08-21,2.87,683.85,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,22,2022-08-22,3.66,926.44,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,23,2022-08-23,3.20,803.03,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,24,2022-08-24,3.46,851.33,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,25,2022-08-25,3.48,865.84,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,26,2022-08-26,3.37,842.70,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,27,2022-08-27,3.21,808.97,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,28,2022-08-28,2.68,612.88,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,29,2022-08-29,3.64,889.19,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,30,2022-08-30,3.33,831.39,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,31,2022-08-31,3.09,779.49,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,1,2022-09-01,3.58,981.30,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,2,2022-09-02,3.62,977.99,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,3,2022-09-03,3.52,932.41,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,4,2022-09-04,2.96,717.50,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,5,2022-09-05,3.87,1001.10,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,6,2022-09-06,3.51,916.10,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,7,2022-09-07,3.46,933.59,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,8,2022-09-08,3.47,954.83,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,9,2022-09-09,3.50,947.58,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,10,2022-09-10,3.25,891.16,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,11,2022-09-11,2.74,700.33,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,12,2022-09-12,3.55,953.89,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,13,2022-09-13,3.46,928.43,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,14,2022-09-14,3.26,876.65,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,15,2022-09-15,3.29,847.44,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,16,2022-09-16,3.46,845.03,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,17,2022-09-17,3.35,811.77,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,18,2022-09-18,2.97,674.31,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,19,2022-09-19,3.50,868.16,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,20,2022-09-20,3.52,878.58,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,21,2022-09-21,3.44,848.47,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,22,2022-09-22,3.35,812.67,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,23,2022-09-23,3.11,851.60,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,24,2022-09-24,3.53,873.98,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,25,2022-09-25,2.95,679.56,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,26,2022-09-26,3.56,904.09,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,27,2022-09-27,3.19,872.41,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,28,2022-09-28,2.84,786.95,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,29,2022-09-29,2.75,764.69,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,30,2022-09-30,3.92,1064.80,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,1,2022-10-01,3.88,1118.78,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,2,2022-10-02,3.67,978.93,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,3,2022-10-03,4.12,1153.88,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,4,2022-10-04,3.35,917.50,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,5,2022-10-05,3.20,781.76,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,6,2022-10-06,3.10,836.00,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,7,2022-10-07,3.63,1015.46,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,8,2022-10-08,3.66,1019.08,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,9,2022-10-09,2.90,746.54,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,10,2022-10-10,3.84,1051.76,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,11,2022-10-11,3.89,1042.69,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,12,2022-10-12,3.98,1018.72,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,13,2022-10-13,3.90,992.33,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,14,2022-10-14,3.50,922.41,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,15,2022-10-15,3.37,892.16,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,16,2022-10-16,2.83,717.15,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,17,2022-10-17,4.10,1057.21,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,18,2022-10-18,4.72,1152.56,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,19,2022-10-19,4.46,1117.32,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,20,2022-10-20,4.42,1151.20,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,21,2022-10-21,4.71,1288.29,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,22,2022-10-22,5.68,1589.60,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,23,2022-10-23,4.41,1159.74,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,24,2022-10-24,3.97,945.78,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,25,2022-10-25,2.96,763.60,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,26,2022-10-26,3.64,934.81,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,27,2022-10-27,3.54,927.93,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,28,2022-10-28,3.48,932.50,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,29,2022-10-29,3.30,862.62,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,30,2022-10-30,2.41,578.14,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,31,2022-10-31,2.98,796.50,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,November,11,1,2022-11-01,3.68,1061.92,2026-04-03,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,November,11,2,2022-11-02,3.53,1006.47,2026-04-03,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,November,11,3,2022-11-03,3.38,941.71,2026-04-03,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,November,11,4,2022-11-04,3.38,920.24,2026-04-03,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,November,11,5,2022-11-05,3.19,8800.00,2026-04-03,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,November,11,6,2022-11-06,2.78,716.64,2026-04-03,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,November,11,7,2022-11-07,3.53,966.47,2026-04-03,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,November,11,8,2022-11-08,2.96,827.28,2026-04-03,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,November,11,9,2022-11-09,3.53,973.76,2026-04-03,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,November,11,10,2022-11-10,3.76,977.54,2026-04-03,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,November,11,11,2022-11-11,3.60,944.16,2026-04-03,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,November,11,12,2022-11-12,3.50,910.82,2026-04-03,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,November,11,13,2022-11-13,3.01,737.85,2026-04-03,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,November,11,14,2022-11-14,3.68,959.35,2026-04-03,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,November,11,15,2022-11-15,3.37,910.15,2026-04-03,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,November,11,16,2022-11-16,3.42,921.81,2026-04-03,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,November,11,17,2022-11-17,3.20,857.97,2026-04-03,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,November,11,18,2022-11-18,3.06,824.98,2026-04-03,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
